RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH
10127,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.759194,-82.47815,Low,
10132,BOORY STAR,Wreck - Visible,27.721667,-82.496667,Low,
10136,UNKNOWN,Wreck - Visible,27.635,-82.666667,Low,
10138,UNKNOWN,Wreck - Visible,27.546972,-82.61925,Low,
10139,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.567731,-82.574125,High,
10140,UNKNOWN,Wreck - Visible,27.528139,-82.608194,Poor,
10146,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.509639,-82.688194,Low,
10149,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.655944,-82.683503,High,
9833,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.598578,-82.680536,High,22
10173,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.723083,-82.709822,Low,
3195,F/V CRAWFISH,"Wreck - Submerged, nondangerous",30.000206,-87.416639,Low,0
2649,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.766967,-83.316506,Low,0
2656,TARPON,"Wreck - Submerged, nondangerous",30.094703,-85.942433,Med,0
2659,PEGGY G,"Wreck - Submerged, dangerous to surface navigation",30.200203,-88.016661,High,0
3437,RUDDIE O,"Wreck - Submerged, dangerous to surface navigation",30.262703,-88.266669,Low,0
3438,DRUMMER,"Wreck - Submerged, dangerous to surface navigation",30.250203,-88.233333,Low,0
3439,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.283825,-88.233333,Low,0
2670,GUNSMOKE,"Wreck - Submerged, dangerous to surface navigation",27.559181,-83.084667,High,8
3480,NEW MOON,"Wreck - Submerged, dangerous to surface navigation",29.63355,-84.466561,Low,0
3510,UNKNOWN,Wreck - Visible,30.313256,-87.720819,Med,0
3518,UNKNOWN,Wreck - Visible,30.264725,-88.1131,High,0
3520,UNKNOWN,Wreck - Visible,30.261036,-88.106386,High,0
3565,BEV ADELE,Wreck - Visible,30.375197,-88.079164,Low,0
2731,PAN DALLAS,,29.611881,-84.954908,Low,0
2735,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.145522,-85.631692,,0
2736,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.140522,-85.633178,High,0
3056,GIGI IV,"Wreck - Submerged, dangerous to surface navigation",29.67355,-84.333225,Low,0
3524,BUNGE 401,"Wreck - Submerged, dangerous to surface navigation",30.258536,-88.041664,Low,
3526,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.335478,-88.100275,Low,0
3529,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.344936,-88.061664,Low,0
3531,UNKNOWN,Wreck - Visible,30.3227,-88.032775,Low,0
3532,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.2802,-88.059997,Low,0
3533,CBC-21,"Wreck - Submerged, dangerous to surface navigation",30.283256,-88.043053,Low,0
3536,BETTY J,"Wreck - Submerged, dangerous to surface navigation",30.249925,-87.999994,Low,0
2739,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.109575,-85.683903,High,17.8
3073,FRANCILLE,"Wreck - Submerged, dangerous to surface navigation",29.966872,-84.333228,Low,0
3078,MISS TAMMY,"Wreck - Submerged, dangerous to surface navigation",29.818544,-84.371561,Low,0
3570,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.588525,-87.949994,Low,0
3572,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.545192,-87.905269,Low,0
3573,REECI-D,"Wreck - Submerged, dangerous to surface navigation",30.541858,-87.910269,Low,0
3580,UNKNOWN,Wreck - Visible,30.386031,-87.826378,High,0
3582,CAROLYN A,"Wreck - Submerged, dangerous to surface navigation",30.561025,-88.047219,Low,0
3584,UNKNOWN,Wreck - Visible,30.753519,-88.036386,Low,0
3586,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.716567,-88.038444,Med,
3589,TOMMY/GALE,Wreck - Visible,30.647981,-88.046678,Low,0
2804,MARION D,"Wreck - Submerged, dangerous to surface navigation",29.750203,-88.608347,Low,0
3128,UNKNOWN,Wreck - Visible,30.118883,-85.728981,Low,0
3131,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.112394,-85.702367,High,8.3
3132,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.146053,-85.632139,High,0
2850,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.000247,-83.399853,Low,0
3133,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.14645,-85.632008,,0
3141,E.E. SIMPSON,"Wreck - Submerged, dangerous to surface navigation",30.053581,-85.621578,High,4
2865,SANDY P,"Wreck - Submerged, dangerous to surface navigation",29.816875,-84.6249,Low,0
2870,IRONSIDE,"Wreck - Submerged, dangerous to surface navigation",30.191867,-88.513344,High,0
2884,KINGFISHER,"Wreck - Submerged, nondangerous",26.833669,-83.166503,Low,0
2895,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.117283,-85.704117,High,18.5
2896,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.130533,-85.724558,High,14.1
3168,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.833544,-84.383228,Low,0
3171,YANKEE CLIPPER,"Wreck - Submerged, dangerous to surface navigation",29.983539,-85.666594,Low,0
3176,UNKNOWN,"Wreck - Submerged, nondangerous",27.591964,-83.991528,Low,0
2623,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",28.000294,-82.833158,Low,0
2626,VAMAR,"Wreck - Submerged, dangerous to surface navigation",29.892483,-85.466503,High,0
2628,WANDA FOUR,"Wreck - Submerged, dangerous to surface navigation",30.218533,-88.555014,Med,0
2919,UNKNOWN,Wreck - Visible,29.854286,-85.398147,High,0
2920,DONT CHA KNOW,"Wreck - Submerged, dangerous to surface navigation",29.8584,-85.348514,High,0
2921,UNKNOWN,Wreck - Visible,29.867464,-85.392836,High,0
3421,KARMA,Wreck - Visible,29.905206,-84.428231,Low,0
2629,ARCTURUS,Wreck - Visible,30.221667,-88.606667,Med,0
2630,UNKNOWN,Wreck - Visible,30.236867,-88.750022,Med,0
2631,JACKIE M,"Wreck - Submerged, dangerous to surface navigation",28.691928,-82.999833,Low,0
2935,SHORTY'S BOY,"Wreck - Submerged, dangerous to surface navigation",29.623547,-84.901572,Low,0
2938,GELMER,"Wreck - Submerged, dangerous to surface navigation",29.316892,-84.916569,Low,0
7488,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.165217,-88.749619,High,31
7489,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.165372,-88.750744,High,31
8455,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.2725,-87.582778,Low,0
8459,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.3177,-87.516647,Low,0
7523,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.418753,-86.530714,High,27
7862,ALICE G,"Wreck - Submerged, dangerous to surface navigation",30.438531,-87.139967,Low,0
7863,MARIE JOSE,"Wreck - Submerged, dangerous to surface navigation",30.425197,-87.161633,Low,0
7869,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.398531,-87.229969,Low,0
7872,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.316867,-87.199967,Low,0
7874,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.248872,-87.585517,High,30
7876,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.949644,-87.559056,High,78
8212,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.423778,-86.363556,High,0
7877,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.101475,-87.391722,High,53
7894,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.245203,-87.68665,Low,0
7895,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.202047,-87.604172,High,40
8213,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.442422,-86.492658,High,7.3
8214,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.441731,-86.45555,High,9.2
8215,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.443056,-86.51625,Low,0
8216,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.445556,-86.490278,Low,0
8218,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.475278,-86.473472,Low,0
8587,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.269281,-87.206706,High,
8588,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.270364,-87.224536,High,
8589,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.274108,-87.254336,High,43
7295,WE TWO,Wreck - Visible,30.242689,-87.720436,High,0
7297,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.095717,-87.768061,Low,0
7298,MIAMI,"Wreck - Submerged, dangerous to surface navigation",30.236033,-87.7589,High,4
7313,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.257478,-88.336172,High,12
7316,UNKNOWN,,30.297031,-88.933364,High,0
7317,MISS SOPHIE,"Wreck - Submerged, dangerous to surface navigation",30.162353,-88.532883,High,33.5
7327,UNKNOWN,Wreck - Visible,30.407731,-86.735636,High,0
7336,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.202547,-88.068444,Low,0
7365,OBSTRUCTION,"Wreck - Submerged, nondangerous",30.048194,-88.32925,High,64
8341,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.558944,-87.007042,High,1.9
4561,VIKING IV,"Wreck - Submerged, dangerous to surface navigation",29.403556,-85.016575,Low,0
4562,TRY ME,,28.566917,-84.966561,Low,0
4564,WANDERING STAR,,28.708581,-84.794892,Low,0
4605,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.3802,-86.506617,Low,0
4658,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.480197,-86.473281,Low,0
4098,LADY SUSAN,,29.63355,-84.599897,Low,0
4677,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.173158,-85.705567,High,0
4747,UNKNOWN,Wreck - Visible,30.258533,-88.813358,Med,0
4748,WAKULLA,"Wreck - Submerged, dangerous to surface navigation",30.302978,-88.763911,Med,0
4752,LUCKY,"Wreck - Submerged, dangerous to surface navigation",30.126194,-88.630006,High,43
4757,ANGLER,Wreck - Visible,30.222422,-88.613072,Med,0
3593,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.234592,-88.264031,High,0
3597,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.224647,-88.302781,High,3
3599,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.153728,-88.475,High,37.6
3602,LITTLE TUB,Wreck - Visible,30.196092,-88.444614,High,0
3604,UNKNOWN,,30.021456,-88.119608,High,66
4202,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.229817,-85.826333,High,2
3609,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.090461,-87.843583,Med,0
3610,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.081369,-87.803414,Med,0
3612,UNKNOWN,"Wreck - Submerged, nondangerous",30.095842,-87.571583,High,0
3614,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.062897,-87.707308,Med,0
3616,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.233536,-87.66665,Low,0
3617,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.158536,-87.69165,Low,
4475,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.044742,-87.539117,High,76
3628,BETSY M,"Wreck - Submerged, dangerous to surface navigation",30.133536,-87.766653,Low,0
3630,COLLE 7,"Wreck - Submerged, dangerous to surface navigation",30.226869,-87.848322,Low,0
3631,WILHELMENIA,"Wreck - Submerged, dangerous to surface navigation",30.240203,-88.156667,Low,0
3632,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.183536,-88.208333,Low,0
3634,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.199008,-88.0667,High,0
3637,TERRY LEE,"Wreck - Submerged, dangerous to surface navigation",30.181869,-88.057219,Low,0
3640,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.171869,-88.036664,Low,0
4500,CABRADROCA,"Wreck - Submerged, dangerous to surface navigation",30.363981,-87.192378,High,5
4501,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.365817,-87.191633,High,8
4502,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.393539,-87.245408,High,1
3670,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.000239,-84.566556,Low,0
4552,LITTLE TOTS,Wreck - Visible,29.705767,-84.970464,Low,0
4553,UNKNOWN,,29.715489,-84.988519,Low,0
4554,DAVY'S NAVY,"Wreck - Submerged, dangerous to surface navigation",29.561883,-84.958242,Low,0
4556,DAVY'S NAVY,,29.789097,-85.016578,Low,0
14743,DYNAMITE CHARGE,Not Charted,29.348333,-89.101667,Low,
14345,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.265556,-88.516139,High,12
14745,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.204722,-88.939167,Low,
14746,HARVEY P WARD,"Wreck - Submerged, dangerous to surface navigation",29.173611,-88.8975,Low,
14749,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.411667,-88.976667,Med,45
14750,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.421667,-88.983056,Low,
14751,UNKNOWN,Wreck - Visible,29.491944,-88.924722,Low,
14752,J/U BARGE DICK SHARPE,"Wreck - Submerged, dangerous to surface navigation",29.391667,-88.9,Low,
14718,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.233897,-89.052361,High,14
14754,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.288611,-88.895833,Low,140
14786,F/V THEREPY REEL,"Wreck - Submerged, dangerous to surface navigation",30.313333,-86.563333,Med,
14895,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.223333,-88.791758,Med,
14896,UNKNOWN,Wreck - Visible,30.236667,-88.778333,Med,
14888,UNKNOWN,Wreck - Visible,30.239361,-88.7035,Med,
14889,UNKNOWN,Wreck - Visible,30.219428,-88.595456,High,
14890,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.206333,-88.971361,Med,
14922,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.131361,-85.726833,High,5
14923,DERELICT,Wreck - Visible,30.120833,-85.711667,Low,
14926,UNKNOWN,Wreck - Visible,30.157261,-85.656433,Low,
14927,UNKNOWN,Wreck - Visible,30.146667,-85.706667,Low,
14892,UNKNOWN,Wreck - Visible,30.245417,-88.871194,Low,
14893,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.247639,-88.8675,Low,
14928,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.139167,-85.70925,High,11.58
14885,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.232889,-88.883111,Low,
14963,UNKNOWN,Wreck - Visible,30.061944,-88.932861,Low,
14964,UNKNOWN,,30.073389,-88.749833,Low,
14967,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.056583,-88.518306,High,
15000,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.681636,-88.037175,Low,
15001,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.724125,-88.042478,Low,
15032,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",29.917853,-88.409486,High,
15165,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.281583,-88.099972,Poor,
15185,OBSTRUCTION,"Wreck - Submerged, dangerous to surface navigation",30.228861,-88.829028,High,11.25
15186,OBSTRUCTION,"Wreck - Submerged, dangerous to surface navigation",30.245,-88.828417,High,27.11
15069,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.083444,-85.883417,Poor,
15070,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.082806,-85.78,Low,
15072,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.066906,-85.783333,Low,
15073,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.033583,-85.766667,Poor,
15074,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.066778,-85.748278,Low,
15075,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.0685,-85.746083,Low,
15076,F/V TAURUS,"Wreck - Submerged, dangerous to surface navigation",30.096083,-85.725889,Low,51
15066,F/V DOUBLE TROUBLE,"Wreck - Submerged, dangerous to surface navigation",30.125667,-85.7575,Low,
15067,SEA BREEZE JOY,"Wreck - Submerged, dangerous to surface navigation",30.125194,-85.769889,Low,
15118,WRECK,Wreck - Visible,40.584214,-73.831692,Med,15
8896,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.191256,-68.442653,High,21
11928,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.610194,-70.658381,High,4.15
11932,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.614592,-70.654367,High,5.4
10646,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.367336,-70.917378,High,33
11745,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.336911,-70.909442,High,16
11052,JESSICA ANN,"Wreck - Submerged, dangerous to surface navigation",43.535222,-70.203917,High,110
11053,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.365556,-70.975,Med,
11068,UNKNOWN,Wreck - Visible,43.096111,-70.766111,Med,
11069,UNKNOWN,"Wreck - Submerged, nondangerous",43.121258,-70.823767,High,26
10726,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.438308,-68.900856,High,36.4
15210,WRECK,"Wreck - Submerged, dangerous to surface navigation",40.761083,-72.729222,Med,9.93
11459,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.365556,-70.975,Med,
10753,UNKNOWN,Wreck - Visible,43.081756,-70.718664,High,
10754,UNKNOWN,"Wreck - Submerged, nondangerous",43.081422,-70.718664,High,
10755,UNKNOWN,Wreck - Visible,43.078889,-70.726944,Med,
10763,ANNE EL,"Wreck - Submerged, dangerous to surface navigation",43.086028,-70.762417,High,33
11121,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.747597,-70.140131,High,22
11122,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.736794,-70.138333,High,26
11126,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.667306,-70.224667,High,12
11127,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.708136,-70.194189,High,19
11129,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.72285,-70.185642,High,5
11130,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.716142,-70.134928,High,35
10426,UNKNOWN,"Wreck - Submerged, nondangerous",43.643906,-70.163583,High,79
15184,OBSTRUCTION,"Wreck - Submerged, dangerous to surface navigation",30.239528,-88.820111,High,12.07
10551,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.669028,-70.218972,High,
11615,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.537239,-70.827075,High,32
11619,UNKNOWN,"Wreck - Submerged, nondangerous",43.530389,-70.171878,High,131
15211,WRECK,"Wreck - Submerged, dangerous to surface navigation",40.723528,-72.777722,Med,16.33
970,AMARETTO,"Wreck - Submerged, nondangerous",44.093136,-68.998092,Poor,0
780,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",45.038967,-66.986919,Low,0
782,UNKNOWN,"Wreck - Submerged, nondangerous",44.926411,-67.062592,Low,0
783,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.896411,-66.993589,Low,0
7175,UNKNOWN,Wreck - Visible,44.458686,-68.896975,High,0
7176,UNKNOWN,Wreck - Visible,44.458131,-68.896697,High,0
7178,SQUALL,Wreck - Visible,44.453881,-68.783083,High,0
6866,INCA,"Wreck - Submerged, nondangerous",42.097322,-70.346139,Low,0
7191,UNKNOWN,Wreck - Visible,44.2548,-68.918086,High,0
15196,WRECK,"Wreck - Submerged, nondangerous",43.041083,-70.695806,High,8
2321,UNKNOWN,,44.692039,-63.617364,Low,0
2323,SCOTIA,Not Charted,44.801744,-66.979422,Poor,0
2330,CHARLOTTE COM,,45.113417,-64.216,Low,0
2331,BEAVERHILL,Not Charted,45.216739,-66.049386,Low,0
1963,POTTSTOWN,"Wreck - Submerged, dangerous to surface navigation",41.775106,-70.462803,Low,31
1964,EXMINSTER,Not Charted,41.785106,-70.484469,Low,0
1972,CYCLOPS,,41.850142,-63.799261,Low,0
1974,WIDDAH,Not Charted,41.883439,-69.949461,Poor,0
1975,CG 58012,Not Charted,41.883436,-70.499472,Low,0
1977,CASTAGNA,Not Charted,41.896772,-69.957797,Poor,0
1978,SURGE,Not Charted,41.900103,-70.366136,Low,0
1980,HENRY ENDICOTE,Not Charted,41.906769,-70.492806,Poor,0
1983,PIONEER,Not Charted,41.916769,-70.382803,Low,0
1994,MARS,"Wreck - Submerged, nondangerous",41.937881,-70.491972,Low,0
2005,GLENSIDE,Not Charted,42.000103,-70.332803,Poor,0
2006,MARY B HOWARD,Not Charted,41.917762,-70.444734,High,0
2012,MILADI,Not Charted,42.036769,-70.237803,Low,0
2013,UNKNOWN,Not Charted,42.043436,-70.266969,Low,0
2014,ALBERTA,Not Charted,42.045103,-70.182803,Low,0
2015,FRANCIS,Not Charted,42.0501,-70.260303,Low,0
2016,UNKNOWN,Not Charted,42.066042,-70.413042,Low,0
2017,CLARA BELLE,Not Charted,42.0701,-70.102803,Poor,0
2018,BEN AND JOSEPH,Not Charted,42.083453,-66.832708,Low,0
2019,UNKNOWN,"Wreck - Submerged, nondangerous",42.084072,-70.498692,Low,0
2020,UNKNOWN,"Wreck - Submerged, nondangerous",42.088547,-70.457053,Low,0
2021,UNKNOWN,"Wreck - Submerged, nondangerous",42.091233,-70.473008,Low,0
2024,CHEROKEE,Not Charted,42.150106,-69.374456,Low,0
2025,PORT NICHOLSON,Not Charted,42.150106,-69.374456,Low,0
2026,C.W.CULLEN,"Wreck - Submerged, dangerous to surface navigation",42.1501,-70.566144,Low,0
2028,PINTHIS,"Wreck - Submerged, nondangerous",42.156208,-70.560608,High,22.08
2029,WINSOR,"Wreck - Submerged, dangerous to surface navigation",42.1551,-70.562811,Poor,0
2032,SAN JOSE,,42.166797,-64.6993,Low,0
2033,AZORES,Not Charted,42.166789,-66.332692,Low,0
2034,YALE,Not Charted,42.200106,-69.116117,Low,0
2041,UNKNOWN,"Wreck - Submerged, nondangerous",42.268156,-70.516144,Low,0
2043,SOUTHLAND,"Wreck - Submerged, nondangerous",42.271767,-70.606147,Low,0
2046,STAMFORD,"Wreck - Submerged, dangerous to surface navigation",42.308431,-70.9231,Low,0
2051,ANNIE PERRY,"Wreck - Submerged, dangerous to surface navigation",42.320931,-70.883656,Low,0
2052,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.322042,-70.921433,Low,0
2053,LIEUT S. MENGE,"Wreck - Submerged, nondangerous",42.326764,-70.669483,Low,0
2054,TABORFJELL,,42.333436,-69.166119,Low,0
2055,VIRGINIAN,"Wreck - Submerged, dangerous to surface navigation",42.333431,-70.899489,Poor,0
2056,ACTOR,"Wreck - Submerged, dangerous to surface navigation",42.334264,-70.948103,Low,0
2057,ACTIVE,"Wreck - Submerged, dangerous to surface navigation",42.334542,-70.945325,Low,0
2060,SCRIBBE,"Wreck - Submerged, dangerous to surface navigation",42.336764,-70.959214,High,0
2061,STARFISH,"Wreck - Submerged, dangerous to surface navigation",42.337319,-70.976853,High,0
2062,SAM MENGEL,"Wreck - Submerged, nondangerous",42.338431,-70.682817,Low,0
2063,SAN MENGEL,"Wreck - Submerged, nondangerous",42.338431,-70.682817,Poor,0
2064,C.H. SPRAGUE,"Wreck - Submerged, nondangerous",42.340097,-70.679206,Low,0
2065,LEAH F,"Wreck - Submerged, nondangerous",42.341764,-70.349478,Low,0
2066,ROXANA,"Wreck - Submerged, nondangerous",42.344264,-70.678094,Low,0
2067,ROXANA,"Wreck - Submerged, nondangerous",42.345097,-70.677817,Poor,0
2068,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.347597,-70.936158,Low,0
2069,BLUEJAY,Not Charted,42.348986,-70.684206,Low,0
2070,EVANS,"Wreck - Submerged, nondangerous",42.350097,-70.713375,Low,0
2071,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.350097,-70.934214,Low,0
2072,UNKNOWN,"Wreck - Submerged, nondangerous",42.351764,-70.703653,Low,0
2073,MCGOWEN,"Wreck - Submerged, nondangerous",42.352875,-70.716153,Low,0
2074,RELIANCE,"Wreck - Submerged, nondangerous",42.357042,-70.699486,Low,0
2075,BEATRICE,"Wreck - Submerged, nondangerous",42.357042,-70.703653,Low,0
2076,UNKNOWN,"Wreck - Submerged, nondangerous",42.359819,-70.659206,Low,0
2077,ANNIE CONANT,"Wreck - Submerged, nondangerous",42.362597,-70.650872,Low,0
2078,JOEL COOK,"Wreck - Submerged, nondangerous",42.362597,-70.673094,Low,0
2079,VESTA,"Wreck - Submerged, nondangerous",42.363986,-70.662817,Low,0
2080,WM H YERKES JR,"Wreck - Submerged, nondangerous",42.363986,-70.662817,Low,0
2081,UNKNOWN,"Wreck - Submerged, nondangerous",42.366486,-70.910047,Low,0
2082,U-857,Not Charted,42.366767,-69.766133,Low,0
2083,W.A.MARSHALL,"Wreck - Submerged, dangerous to surface navigation",42.366764,-70.738375,Low,0
2084,SHAG,"Wreck - Submerged, nondangerous",42.366764,-70.823656,Low,0
2086,COYOTE,"Wreck - Submerged, dangerous to surface navigation",42.368431,-70.717819,Low,0
2087,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.368153,-70.914769,Low,
2088,KING PHILLIP,"Wreck - Submerged, nondangerous",42.368431,-70.619483,Low,0
2090,USS YMSR14,"Wreck - Submerged, dangerous to surface navigation",42.368431,-70.914492,Poor,
2092,HERCULES,"Wreck - Submerged, dangerous to surface navigation",42.369542,-70.918936,Low,0
2095,JOSEPH ROSS,"Wreck - Submerged, nondangerous",42.373431,-70.647817,Low,0
2096,USS EAGLE BOAT NO.42,"Wreck - Submerged, nondangerous",42.373431,-70.722819,Poor,0
2098,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.373708,-70.888378,Low,0
2099,EAGLE BOAT NO.42,"Wreck - Submerged, dangerous to surface navigation",42.373986,-70.722542,Low,0
2101,LYNNE,"Wreck - Submerged, dangerous to surface navigation",42.374264,-70.901433,Low,0
2102,WAVE,"Wreck - Submerged, nondangerous",42.379264,-70.656428,Low,0
2103,ETHEL N.,"Wreck - Submerged, nondangerous",42.380097,-70.657817,Low,0
2105,TOLEDO,"Wreck - Submerged, dangerous to surface navigation",42.383431,-70.899492,Low,0
2106,WINIFRED SHERIDAN,"Wreck - Submerged, dangerous to surface navigation",42.383431,-70.916158,Low,0
2107,W SHERIDAN,"Wreck - Submerged, dangerous to surface navigation",42.383431,-70.916158,Low,0
2111,OCEAN,"Wreck - Submerged, nondangerous",42.388708,-70.591983,Low,0
2112,ARCO NO. 8,"Wreck - Submerged, dangerous to surface navigation",42.389592,-70.918486,High,53
2113,ARCO 8,,42.389592,-70.918486,High,53
2114,MARY A WHITE,"Wreck - Submerged, nondangerous",42.391764,-70.673094,Low,0
2115,UNKNOWN,"Wreck - Submerged, nondangerous",42.391464,-70.888314,High,82
2116,MIST,"Wreck - Submerged, nondangerous",42.393431,-70.654483,Low,0
2117,ROMANCE,"Wreck - Submerged, dangerous to surface navigation",42.395192,-70.862267,High,59
2119,YF 415,"Wreck - Submerged, nondangerous",42.400097,-70.599483,Low,0
